title,abstract_plain,keywords,topics,authors,organisations,poster_location,file_name,landscape/ portrait,online/ in-person,presenter_time
Dignified Deletion: Toward a Philosophy of Letting Go in Digital Preservation,"This presentation challenges a foundational assumption of digital preservation: that our mission is to save as much as possible, for as long as possible. Drawing on ecological concepts of decay, regeneration, and the forest floor, it proposes a philosophy of 'graceful degradation' and 'dignified deletion'—frameworks for intentionally letting some digital objects die. While current preservation practices focus on preventing data loss, they also create ongoing obligations: storage costs, format migration, metadata maintenance, and the labor of future colleagues. This presentation explores five interconnected provocations: ecological necessity of decay, environmental sustainability concerns, authenticity of ephemeral objects, preservation debt for future workers, and deletion as ethical care. The presentation introduces a draft framework for principled deaccessioning, 'dignified deletion,' including documentation, redistribution, sunset metadata, and transparent retention policies.","Policy, Strategy, Costs, Management, Preservation Planning","Management, Organizations, Staffing, Repository Assessments, Costs
Appraisal / Selection, Acquisition, Ingest
Legal / Ethical / Environmental Considerations, Policy, Strategy","Schmid, Irina","The American University in Cairo, Egypt",online,107_IrinaSchmid_DignifiedDeletion.pdf,landscape,online,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
Don’t Stop Retrievin’: Ensuring Version Integrity in Publications and Metadata,"This poster will show the specialized versioning workflow for e-books that was developed by KBNL last year. What makes this workflow so unique and special, is that it's the first implementation of versions in KBNL's e-Depot, combined with the way these e-books and associated metadata are sent to KBNL: separately and asynchronously. The poster will also include a preview of a workflow for synchronously received materials.","Ingest, Workflows, Content, Metadata, Versioning","File Formats, Content Integrity, Migrations, Content Preservation
Metadata, Description
Appraisal / Selection, Acquisition, Ingest","Hofsink, Inge;
Ligtenberg, Richard",KB national library of the Netherlands,1,113_Hofsink-Ligtenberg_Dont-Stop-Retrievin_.pdf,portrait,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
DIGITAL FORENSICS AND CONTEMPORARY PRACTICE: Updating and Reframing the DPC Technology Watch Report (2012),"This poster introduces the near final draft of the updated Digital Forensics Technology Watch Report from the Digital Preservation Coalition (DPC). Originally published in 2012, the report has been revised to reflect the maturation of digital forensics within digital preservation and the changing nature of born-digital personal archives. The updated guide reframes digital forensics around preservation goals, emphasising context, experience, and research use, and provides expanded practical and ethical guidance. We invite feedback from the iPRES community and aim to raise awareness of the guide as a resource for practitioners.","Forensics, Storage Media, Archives Content, Digital Forensics, Personal Digital Archives","File Formats, Content Integrity, Migrations, Content Preservation
Appraisal / Selection, Acquisition, Ingest
Legal / Ethical / Environmental Considerations, Policy, Strategy","McKean, Callum (1);
Talboom, Leontien (2)","1: The British Library, United Kingdom;
2: University of Cambridge Libraries and Archives, United Kingdom",24,McKeanTalboom_Digital_Forensics_and_Preservation.pdf,portrait,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
SGP-VSD: PACKAGER FOR SIP PACKETS ORIGINATING FROM THE DIGITIZATION OF VIDEO DOCUMENTS IN HEALTHCARE.,"The Oswaldo Cruz Foundation (Fiocruz) is the largest public health research institution in Brazil and a national leader in the production of vaccines for the Unified Health System (SUS). Throughout its 126 years, Fiocruz has built a vast collection that constitutes a significant part of Brazil's scientific and cultural heritage.
Created in 1988, in the context of the Brazilian Health Reform, VideoSaúde - Fiocruz Distributor (VSD), linked to ICICT/Fiocruz, is responsible for the management, preservation, production, dissemination and distribution of audiovisual material on health produced by Fiocruz, partner institutions and independent producers.
The VSD collection serves a diverse network of users, including researchers, students, the general public and technical staff involved in the management of Fiocruz's collections. Currently, it consists of more than 10,000 hours of video and approximately 9,000 items cataloged in its Database of Audiovisual Resources in Health (BRAVS), including analog and digital formats.
As part of a broader preservation ecosystem, VSD developed the Preservation Management System (SGP-VSD), designed to support the creation of Submission Information Packages (SIPs) compliant with the ISO 14721 model (OAIS). The SGP-VSD provides a systemic application capable of managing and packaging video archive documents in the healthcare field, originating from magnetic tape digitization processes, allowing the recording of the summarized process history of the digitization event through the adoption of XML-encoded PREMIS metadata generated by the System.
This workflow integrates the registration of Preservation Description Information (PDI), enabling OAIS packages that strengthen the chain of custody, the preservation chain, the presumption of protection, and reliability, with the generation of Archival Information Packages (AIPs) via Archivematica.
The work proposed here aims to present a brief description of SGP-VSD as a system designed to be a packager of health video documents integrated with databases via API - Rest, as well as the use of functionalities that apply the requirements of ISO 14721 and 16363 standards and standards that support the generation of SIPs that complete the preservation chain with the generation of robust, authentic, interoperable and specific AIPs through the Archivematica digital preservation tool.","Audiovisual Content, Digitized Content, Metadata, Workflows, Repository Systems Software","File Formats, Content Integrity, Migrations, Content Preservation
Technical Infrastructure, Tools, Storage, Bit Preservation
Metadata, Description
Appraisal / Selection, Acquisition, Ingest","Nogueira Machado, João Guilherme;
Batista Pontes, Eliane;
Huche Lopes, Cleomar;
Mardero Arellano, Miguel Ángel","Oswaldo Cruz Foundation, Brazil",3,116_Machado-JoaoGuilherme_SGP-VSD_packager.pdf,portrait,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
THE DISKOVERY PILOT: Amiga Coverdisk Emulation & Videogaming the Incidental,"The National Library of Scotland's Diskovery Pilot is a two-year project to preserve and provide access to collections held on CD Audio, DVD Video, and 3.5-inch floppy disk. This poster focuses on the latter, drawing on Amiga-formatted coverdisks from computing magazines of the 1980s and 1990s to address a pressing preservation horizon: the obsolescence of disk-based collections carrying sound, moving image, and videogame culture. Diskovery is framed by the emergent digital – the transitional period from magnetic to optical data storage (1970s–1990s) – and the radical expansion of multimedia through personal computing that accompanied it.
COVERDISK MIGRATION: FLOPPY DISK WORKFLOWS AND AMIGA PRESERVATION
3.5-inch floppy coverdisks constitute the Library's largest computer game collection, arriving incidentally as supplemental material to legally deposited magazines. Scottish classics ‘Menace’ and ‘Lemmings’ from Dundee's DMA Design reside here alongside software, tutorials, utilities, and digital art primers. The migration workflow draws on digital forensics practices, refined through dialogue with the Digital Preservation Coalition (DPC) and training from Cambridge University Library's Future Nostalgia Project. Workflows target both flux-level fidelity and emulation-ready output, ensuring captured disks are playable within Amiga Forever, a licensed emulation environment. This approach relies on affordable, open-source hardware, including the Greaseweazle floppy disk controller, offering a reproducible methodology for institutions facing similar collection loss risks.
PLAYING THE ARCHIVE: EMULATION AND THE GAMING KIOSK
Emulation terminals will be deployed in the George IV Reading Room in Edinburgh and at Moving Image, Music & Sound Collections in Glasgow, realising preservation to the point of access. Installing a gaming kiosk in a research library re-orients the public access offer toward interactive, time-based digital culture, raising questions around emulation licensing, accessibility, and what gaming means in spaces traditionally reserved for text-based research. Diskovery proposes a replicable model for cultural memory institutions beginning to engage with gaming collections.
ACCESS CHALLENGES AND THE CULTURAL POROSITY OF VIDEOGAMES
Under UK Legal Deposit, videogames fall outside Non-Print Legal Deposit legislation, yet the Library has accumulated its largest games collection through incidental coverdisks. This inversion calls for more flexible collecting mandates. The Library is co-leading a network with National Museums Scotland and the National Videogame Museum toward a shared framework for collecting, preserving, and presenting Scotland's videogaming legacy—directly addressing iPRES 2026's Community theme. Videogames are culturally porous, bleeding into art, music, and cinema, and Diskovery asks what it means for a national library to steward not only games, but their afterlives across forms.","Audiovisual Content, Emulation, Migration, Videogames, Floppy Coverdisks","File Formats, Content Integrity, Migrations, Content Preservation
Technical Infrastructure, Tools, Storage, Bit Preservation
Community, Collaborations
Metadata, Description
Discovery, Access, Delivery, Emulation
Legal / Ethical / Environmental Considerations, Policy, Strategy","Walker, Conor de Quincey","National Library of Scotland, United Kingdom",29,118_Conor-Q-Walker_The-Diskovery-Pilot.pdf,portrait,in-person,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
LTO-7 to LTO-10: Migrating Holocaust Survivor Testimonies for Long-Term Digital Preservation,"The Vancouver Holocaust Education Centre (VHEC) undertook a digital preservation migration project to strengthen the long-term stewardship of its audiovisual Holocaust testimony collection. The collection comprises over 200 survivor and eyewitness testimonies recorded since 1979 across analogue and digital formats.
As existing LTO-7 media approached the end of its recommended service lifecycle, the VHEC migrated preservation and mezzanine files to LTO-10 in alignment with best-practice recommendations for periodic carrier refresh. [1]
Beyond tape-to-tape copying, the project implemented structured repackaging using BagIt and automated Python scripts integrated with CollectiveAccess (CA), the VHEC’s content management system (CMS). An OAIS-informed workflow incorporated fixity verification and PREMIS-aligned preservation metadata. The migration produced verified preservation copies for over 200 testimonies and established a sustainable workflow suitable for small and mid-sized documentary heritage organizations.","Audiovisual Content, Tape Storage, Fixity, Workflows, Preservation Tools","File Formats, Content Integrity, Migrations, Content Preservation
Technical Infrastructure, Tools, Storage, Bit Preservation
Metadata, Description","Alster, Ada;
Singh, Rohini","Vancouver Holocaust Education Centre (VHEC), Canada",4,AdaRohini_LTO-7toLTO-10.pdf,portrait,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
Repository Autoscaling Through Use Of Containers And Operational Metrics – A Cloud-based Approach,"At California Digital Library, the digital preservation repository team is amid a paradigm shift that entails movement of the system’s microservices and queueing capabilities to a fully containerized state. Meaning, each key service, such as ingest, inventory and storage will operate in independent but orchestrated containers.
There are numerous advantages to running a repository using this new strategy and infrastructure. This poster will illustrate the team’s transition from its current cloud infrastructure to containers, including items such as infrastructure as code, orchestration and vitally, using key metrics to determine when the system should scale its resources to handle variable deposit rates – all with the intention of optimizing throughput, costs and environmental impact.","Repository Systems Software, Cloud, Strategy, Workflows, Containerization","Technical Infrastructure, Tools, Storage, Bit Preservation","Lopatin, Eric","University of California, California Digital Library, United States",30,EricLopatin_Repository-Autoscaling-through-use-of-Containers-and-Operational-Metrics.pdf,landscape,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
Roadmap to Preservation (maybe the real treasure was the friends we made along the way...),"In October 2025, the team at RMIT University Archives, in collaboration with RMIT Library, had their Digital Preservation Roadmap endorsed by the University’s Information Governance Board. This paved the way for an ongoing project to build Archives’ digital preservation capability and capacity through improvements to staff, storage and systems. The endorsement was the culmination of three years of work and learning about advocacy, building relationships and engaging with our community to make progress on our goals.","Strategy, People, Collaboration","Management, Organizations, Staffing, Repository Assessments, Costs
Community, Collaborations
Legal / Ethical / Environmental Considerations, Policy, Strategy","Shaw, Cassie;
Tropea, Rachel","RMIT University, Australia",online,CassieShaw_RoadmapToPreservation.pdf,landscape,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
Shrinking the Digital Heap: Triaging Digital Carriers at Cambridge University Library,"Many of Cambridge University Library (CUL)’s modern archival collections include digital carriers. The library has a Transfer Service in which a Technical Analyst works to transfer the contents of digital carriers to digital preservation storage. With the resource limitation of one Technical Analyst and one digital preservation workstation, the number of digital carriers in our collections presents a challenge.
With no method for archivists to access or appraise the contents of the digital carriers, Technical Analyst time was spent processing carriers that were later found to be blank, duplicates, or to contain files that do not need to be permanently preserved.
The Technical Analyst and Digital Archivist designed a process and set up a workstation for archivists to triage their digital carriers before sending them to the Transfer Service. This has freed up significant time for the Technical Analyst and has also increased the practical digital preservation skills and engagement of the archivists.","Collection Assessment, Forensics, Handheld Storage","Technical Infrastructure, Tools, Storage, Bit Preservation
Appraisal / Selection, Acquisition, Ingest","Johnston, Rebekah;
Talboom, Leontien","University of Cambridge Libraries and Archives, United Kingdom",25,138_Rebekah-Johnston-and-Leontien-Talboom_Shrinking-The-Digital-Heap-Triaging.pdf,portrait,in-person,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
Exploring a Holistic Approach for Confronting a Legacy Backlog,"The proposed poster will show three simultaneous efforts to improve digital preservation work at the IISH by increasing collaboration between disciplines in different stages of the digital archiving process: accessioning, backlog processing and providing access. The intended purpose is to inspire discussion and reflection on each experiment separately, as well as the general principle of multidisciplinary collaboration in digital preservation.","Access, Characterisation, Workflows, Collaboration","File Formats, Content Integrity, Migrations, Content Preservation
Technical Infrastructure, Tools, Storage, Bit Preservation
Appraisal / Selection, Acquisition, Ingest
Discovery, Access, Delivery, Emulation","Rose, Alaina;
van der Knaap, Julia;
Friedland, Avigail","International Institute of Social History, Netherlands, The",2,140_RoseVanderKnaapFriedland_ExploringaHolisticApproach.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
