id,filename
28-million-documents-and-counting-digital-preservation-and,192_KateTasker-EmmaJames_28-Million-Documents.pdf
50-billion-objects-of-the-danish-web-visualizing,
accessing-quantum-history-in-the-new-century-a,156_Allison-Buser_Accessing-Quantum-History.pdf
adapting-to-context-generating-collaboration-opportunities,1093_Tomé_Adapting-to-Context.pdf
advocacy-as-a-core-digital-preservation-competency-strengthening,Sarah Middleton and Dorothy Waugh_Advocacy as a Core Digital Preservation Competency.pdf
ai-enabled-access-to-large-and-sensitive-collections,282_Brent-West_AI-Enabled-Access-To-Large-And-Sensitive-Collections.pdf
aida-a-network-based-approach-to-technical-partner,MerijnMaene_AIDAModel.pdf
arch-i-scan-archiving-our-biggest-digital-collection,MarcoBrunello_ArchIScanArchivingOurBiggestDigitalCollectionYet.pdf
are-we-on-the-right-track,
captioning-everything-everywhere-all-at-once-integrating-automated,153_Rao-ORiordan_Captioning-Everything-Everywhere-All-At-Once.pdf
current-trends-in-fixity-practices-results-from-the,Taylor_NDSAFixitySurveyResults.pdf
ddi-for-beginners-free-bilingual-training-resources-to,DANCIU_DDI Metadata for Beginners.pdf
digital-forensics-and-contemporary-practice-updating-and-reframing,McKeanTalboom_Digital_Forensics_and_Preservation.pdf
digital-preservation-on-a-national-level-a-canada,Lake_A-Canada-wide-portrait-with-DPC-RAM.pdf
dignified-deletion-toward-a-philosophy-of-letting-go,107_IrinaSchmid_DignifiedDeletion.pdf
don-t-stop-retrievin-ensuring-version-integrity-in,113_Hofsink-Ligtenberg_Dont-Stop-Retrievin_.pdf
exploring-a-holistic-approach-for-confronting-a-legacy,140_RoseVanderKnaapFriedland_ExploringaHolisticApproach.pdf
forwarding-the-email-archive-stewarding-donna-j-haraway,151_Norton-Berry_Forwarding-the-Email-Archive.pdf
from-simulation-to-reality-china-s-first-authentic,Peng Yuanyuan_From Simulation to Reality_ China_s First Authentic-Scenario Emergency Drill for Preserving Licensed Electronic Journals in Biomedicine.pdf
how-well-did-we-do-measuring-digital-preservation,AndreaGoethals_HowWellDidWeDo.pdf
introducing-dataflow-diagrams-communicating-digital-preservation-workflows,168_AndyJackson_IntroducingDataflowDiagrams.pdf
keeping-open-books-usable-challenges-and-opportunities,
let-s-dowarc-semantic-modelling-of-web-archiving,167_Pallotto-Strickland-and-Storrar_Let’s-doWARC.pdf
lower-saxony-state-initiative-for-digital-preservation,263_Annabel-Walz_Lower-Saxony-State-Initiative.pdf
lto-7-to-lto-10-migrating-holocaust-survivor,AdaRohini_LTO-7toLTO-10.pdf
overcoming-barriers-to-preserving-and-sharing-qualitative-data,ElianeFerrez_OvercomingBarriersToPreservingAndSharingQualitativeData.pdf
preservation-as-a-service-the-cern-preserve-hub,234-Liptak_LeMeur-CERN-Preservation-As-A-Service.pdf
repository-autoscaling-through-use-of-containers-and-operational,EricLopatin_Repository-Autoscaling-through-use-of-Containers-and-Operational-Metrics.pdf
repository-native-documentation-for-research-data-preservation-with,
roadmap-to-preservation-maybe-the-real-treasure-was,CassieShaw_RoadmapToPreservation.pdf
sgp-vsd-packager-for-sip-packets-originating-from,116_Machado-JoaoGuilherme_SGP-VSD_packager.pdf
shrinking-the-digital-heap-triaging-digital-carriers-at,138_Rebekah-Johnston-and-Leontien-Talboom_Shrinking-The-Digital-Heap-Triaging.pdf
sustainable-and-systematic-building-a-search-index-of,281_AndyJackson_BuildingAnIndexOfPractice.pdf
taking-a-risk,240_LucasWhibleyDay_TakingARisk.pdf
the-diskovery-pilot-amiga-coverdisk-emulation-and-videogaming,118_Conor-Q-Walker_The-Diskovery-Pilot.pdf
the-dlcm-technology-the-swiss-army-knife-of,Cazeaux_TheDLCMTechnology.pdf
the-good-the-grey-and-the-redundant-data,246_Oliver-Brough_The-Good-The-Grey-The-Redundant.pdf
transparent-referenceable-integrated-preservation-planning-tripp,HLH-TRIPP_v02_00.drawio.pdf
we-can-t-keep-everything-forever-a-landscape,Narlock_WeCantKeepEverythingForever.pdf
